Report Year,Date,Month,Day,Hour,Minute,AM/PM,Time,Nearest Station,Subdivision,County Name,State Name,Highway Name,Public/Private Code,Public/Private,Highway User,Estimated Vehicle Speed,Vehicle Direction,Highway User Position,Equipment Involved,Equipment Struck,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars,Train Speed,Estimated/Recorded Speed,Train Direction,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Crossing Warning Expanded 8,Crossing Warning Expanded 9,Crossing Warning Expanded 10,Crossing Warning Expanded 11,Crossing Warning Expanded 12,Signaled Crossing Warning Code,Signaled Crossing Warning,Roadway Condition,Crossing Warning Location,Warning Connected To Signal,Crossing Illuminated,User Age,User Gender,User Struck By Second Train,Highway User Action,View Obstruction,Driver Condition,Driver In Vehicle,Crossing Users Killed For Reporting Railroad,Crossing Users Injured For Reporting Railroad,Vehicle Damage Cost,Employees Killed For Reporting Railroad,Employees Injured For Reporting Railroad,Passengers Killed For Reporting Railroad,Passengers Injured For Reporting Railroad,Narrative
1986,02/26/1986,02,26,01,00,PM,13:00:00,NA,NA,NORFOLK,MASSACHUSETTS,HOWARD ST,Y,Public,Truck,10,North,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,32,Day,Clear,1,3,10,E,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,Both sides,Unknown,Yes,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,01/25/1986,01,25,02,40,PM,14:40:00,CHELSEA,NA,ESSEX,MASSACHUSETTS,EVERETT AVE,Y,Public,Auto,15,South,Moving over crossing,Train (units pulling),Rail equipment struck highway user,40,Day,Clear,1,3,30,E,East,Gates,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Went around the gate,Not obstructed,Killed,Yes,2,0,3000,0,0,0,0,NoneNoneNoneNoneNone
1986,02/19/1986,02,19,12,25,AM,00:25:00,AYER,NA,MIDDLESEX,MASSACHUSETTS,GROTON HARVARD RD,Y,Public,Auto,5,North,Moving over crossing,Train (units pulling),Rail equipment struck highway user,28,Dark,Rain,2,9,2,E,West,Gates,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,Yes,Went around the gate,Passing train,Uninjured,Yes,0,0,300,0,0,0,0,NoneNoneNoneNoneNone
1986,06/13/1986,06,13,07,10,AM,07:10:00,AYER,NA,MIDDLESEX,MASSACHUSETTS,PRIVATE CROSSING,N,Private,Auto,1,South,Moving over crossing,Train (units pushing),Rail equipment struck highway user,52,Day,Rain,1,6,20,E,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stop signs,NA,NA,NA,Opposite side of vehicle approach,No,No,NA,NA,No,Stopped and then proceeded,Standing railroad equipment,Uninjured,Yes,0,0,6000,0,0,0,0,NoneNoneNoneNoneNone
1986,06/18/1986,06,18,06,30,AM,06:30:00,FRAMINGHAM,NA,MIDDLESEX,MASSACHUSETTS,RTE 9,Y,Public,Auto,40,East,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,60,Dawn,Clear,1,4,2,E,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hwy. traffic signals,1,Provided minimum 20-second warning,NA,Both sides,Yes,Yes,NA,NA,No,Did not stop,Not obstructed,Injured,Yes,0,1,0,0,0,0,0,NoneNoneNoneNoneNone
1986,03/18/1986,03,18,07,40,AM,07:40:00,QUINSIGAMOND,NA,WORCESTER,MASSACHUSETTS,MILLBURY STREET,Y,Public,Auto,0,East,Stopped on crossing,Train (units pulling),Rail equipment struck highway user,40,Day,Clear,2,8,2,E,North,Crossbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stop signs,NA,NA,NA,Side of vehicle approach,No,Unknown,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,Yes,0,0,200,0,0,0,0,NoneNoneNoneNoneNone
1986,06/23/1986,06,23,10,13,AM,10:13:00,FRAMINGHAM,NA,MIDDLESEX,MASSACHUSETTS,CONCORD ST XING,Y,Public,Truck-trailer,0,North,Stopped on crossing,Train (units pulling),Rail equipment struck highway user,75,Day,Rain,3,64,15,E,East,Gates,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Side of vehicle approach,Yes,No,NA,NA,No,Stopped on crossing,Not obstructed,Injured,Yes,0,1,0,0,0,0,0,NoneNoneNoneNoneNone
1986,06/02/1986,06,02,05,05,PM,17:05:00,FREETOWN,NA,BRISTOL,MASSACHUSETTS,CHIPAWAY RD CROSSING,Y,Public,Auto,45,East,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,50,Day,Clear,1,3,22,E,North,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Injured,Yes,0,1,0,0,0,0,0,NoneNoneNoneNoneNone
1986,06/06/1986,06,06,12,10,PM,12:10:00,SPRINGFIELD,NA,HAMPDEN,MASSACHUSETTS,KING ST,Y,Public,Auto,10,East,Moving over crossing,Train (units pulling),Rail equipment struck highway user,60,Day,Rain,1,1,3,E,South,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,1000,0,0,0,0,NoneNoneNoneNoneNone
1986,05/16/1986,05,16,03,20,PM,15:20:00,VALLEY FALLS,NA,BRISTOL,MASSACHUSETTS,JENKS ROAD,Y,Public,Truck-trailer,5,North,Moving over crossing,Train (units pulling),Rail equipment struck highway user,62,Day,Clear,1,6,5,E,West,Crossbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flagged by crew,NA,NA,NA,Both sides,No,Unknown,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,07/31/1986,07,31,08,10,PM,20:10:00,FRAMINGHAM,NA,MIDDLESEX,MASSACHUSETTS,HOLLIS ST CROSSOVER,Y,Public,Auto,5,East,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,78,Dusk,Clear,1,1,4,E,South,Standard FLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audible,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Stopped and then proceeded,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1986,06/30/1986,06,30,11,04,PM,23:04:00,AUBURN,NA,WORCESTER,MASSACHUSETTS,CENTRAL ST,Y,Public,Auto,0,West,Stalled or stuck on crossing,Train (units pulling),Rail equipment struck highway user,64,Dark,Clear,3,36,25,E,North,Cantilever FLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,Yes,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,No,0,0,2000,0,0,0,0,NoneNoneNoneNoneNone
1986,07/05/1986,07,05,09,10,PM,21:10:00,GLOUCESTER,NA,ESSEX,MASSACHUSETTS,MAPLEWOOD AVE,Y,Public,Auto,10,North,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,75,Dark,Fog,1,5,10,E,East,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,2500,0,0,0,0,NoneNoneNoneNoneNone
1976,07/27/1976,07,27,07,30,PM,19:30:00,SPRINGFIELD,NA,HAMPDEN,MASSACHUSETTS,ISLAND POND ROAD,Y,Public,Auto,2,North,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,76,Day,Cloudy,1,9,2,E,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flagged by crew,NA,NA,NA,Both sides,Unknown,NA,NA,NA,Unknown,Stopped and then proceeded,Not obstructed,Uninjured,Yes,0,1,0,0,0,0,0,NoneNoneNoneNoneNone
1976,07/20/1976,07,20,06,02,PM,18:02:00,STOUGHTON,NA,NORFOLK,MASSACHUSETTS,PORTER STREET,Y,Public,Auto,5,North,Moving over crossing,Train (units pulling),Rail equipment struck highway user,70,Day,Clear,1,6,5,E,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standard FLS,1,Provided minimum 20-second warning,NA,Both sides,No,NA,NA,NA,Yes,Did not stop,Not obstructed,Uninjured,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1976,07/16/1976,07,16,01,05,AM,01:05:00,LITTLETON,NA,MIDDLESEX,MASSACHUSETTS,ROUTE 2-A,Y,Public,Auto,15,North,Moving over crossing,Train (units pulling),Rail equipment struck by highway user,80,Dark,Clear,3,115,20,E,West,Standard FLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Audible,1,Provided minimum 20-second warning,NA,Both sides,No,Unknown,NA,NA,No,Did not stop,Not obstructed,Injured,Yes,0,5,1500,0,0,0,0,NoneNoneNoneNoneNone
1984,05/15/1984,05,15,09,34,AM,09:34:00,NORTH STATION,NA,MIDDLESEX,MASSACHUSETTS,PRIVATE-PIGGYBACK YD,N,Private,Truck,10,South,Moving over crossing,Light loco(s) (moving),Rail equipment struck by highway user,60,Day,Clear,1,0,3,E,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,600,0,0,0,0,NoneNoneNoneNoneNone
1984,05/13/1984,05,13,06,04,PM,18:04:00,ACTON,NA,MIDDLESEX,MASSACHUSETTS,MARTIN ST,Y,Public,Auto,25,North,Moving over crossing,Train (units pulling),Rail equipment struck highway user,70,Day,Clear,1,2,30,E,East,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Did not stop,Vegetation,Injured,Yes,0,1,4000,0,0,0,0,NoneNoneNoneNoneNone
1984,05/02/1984,05,02,03,30,PM,15:30:00,WILMINGTON,NA,MIDDLESEX,MASSACHUSETTS,GLEN RD,Y,Public,Auto,0,East,Stalled or stuck on crossing,Train (units pulling),Rail equipment struck highway user,60,Day,Clear,1,3,15,E,South,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,No,Unknown,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,No,0,0,1000,0,0,0,0,NoneNoneNoneNoneNone
1976,05/12/1976,05,12,03,26,AM,03:26:00,CAMBRIDGE,NA,MIDDLESEX,MASSACHUSETTS,MAIN ST,Y,Public,Auto,5,East,Moving over crossing,Train (units pulling),Rail equipment struck highway user,0,Dark,Rain,1,23,4,E,East,Standard FLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,1,Provided minimum 20-second warning,NA,Both sides,No,Unknown,NA,NA,Unknown,Did not stop,Not obstructed,Injured,Yes,0,2,0,0,0,0,0,NoneNoneNoneNoneNone
1984,04/05/1984,04,05,10,50,PM,22:50:00,SHIRLEY,NA,MIDDLESEX,MASSACHUSETTS,MAIN STREET,Y,Public,Auto,0,East,Stalled or stuck on crossing,Train (units pulling),Rail equipment struck highway user,40,Dark,Rain,2,30,38,R,West,Gates,Standard FLS,Audible,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,1,Provided minimum 20-second warning,NA,Both sides,Yes,No,NA,NA,No,Stopped on crossing,Not obstructed,Uninjured,No,0,0,1500,0,0,0,0,NoneNoneNoneNoneNone
1984,03/29/1984,03,29,06,17,PM,18:17:00,ASHLAND,NA,MIDDLESEX,MASSACHUSETTS,MAIN STREET,Y,Public,Auto,0,North,Stalled or stuck on crossing,Train (units pulling),Rail equipment struck highway user,30,Dark,Snow,1,6,50,E,West,Gates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standard FLS,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Stopped on crossing,Not obstructed,Injured,Yes,1,3,0,0,0,0,0,NoneNoneNoneNoneNone
1984,03/29/1984,03,29,06,17,PM,18:17:00,ASHLAND,NA,MIDDLESEX,MASSACHUSETTS,MAIN STREET,Y,Public,Auto,0,North,Stalled or stuck on crossing,Train (units pulling),Rail equipment struck highway user,30,Dark,Snow,1,6,50,E,West,Gates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standard FLS,1,Provided minimum 20-second warning,NA,Both sides,No,No,NA,NA,No,Stopped on crossing,Not obstructed,NA,Yes,0,0,0,0,0,0,0,NoneNoneNoneNoneNone
1984,03/05/1984,03,05,04,45,PM,16:45:00,NORTH HAMPTON,NA,HAMPDEN,MASSACHUSETTS,PRIVATE-JUNK YD XING,N,Private,Auto,20,West,Moving over crossing,Train (units pulling),Rail equipment struck highway user,35,Day,Rain,1,7,35,E,South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crossbucks,NA,NA,NA,Both sides,NA,No,NA,NA,No,Did not stop,Not obstructed,Uninjured,Yes,0,0,900,0,0,0,0,NoneNoneNoneNoneNone
